mode,dataset,epoch,solver,num_steps,nfe,eps0,churn,s_min,s_max,gamma,FID
characteristic,mnist,2000,characteristic,1,1,1e-3,False,0.05,0.6,0.2,1.9710
characteristic,mnist,2000,characteristic,2,2,1e-3,False,0.05,0.6,0.2,1.1517
characteristic,mnist,2000,characteristic,5,5,1e-3,False,0.05,0.6,0.2,0.2779
characteristic,mnist,2000,characteristic,10,10,1e-3,False,0.05,0.6,0.2,0.2002
characteristic,mnist,2000,characteristic,20,20,1e-3,False,0.05,0.6,0.2,0.1337
denoiser,mnist,10000,deis,1,1,1e-3,False,0.05,0.6,0.2,46.5481
denoiser,mnist,10000,deis,2,2,1e-3,False,0.05,0.6,0.2,46.7053
denoiser,mnist,10000,deis,5,5,1e-3,False,0.05,0.6,0.2,2.6935
denoiser,mnist,10000,deis,10,10,1e-3,False,0.05,0.6,0.2,0.6606
denoiser,mnist,10000,deis,20,20,1e-3,False,0.05,0.6,0.2,0.2797
denoiser,cifar,100000,deis,1,1,1e-3,False,0.05,0.6,0.2,14.0560
denoiser,cifar,100000,deis,2,2,1e-3,False,0.05,0.6,0.2,15.4168
denoiser,cifar,100000,deis,5,5,1e-3,False,0.05,0.6,0.2,5.3770
denoiser,cifar,100000,deis,10,10,1e-3,False,0.05,0.6,0.2,3.1628
denoiser,cifar,100000,deis,20,20,1e-3,False,0.05,0.6,0.2,2.4995
characteristic,cifar,2000,characteristic,1,1,1e-3,False,0.05,0.6,0.2,4.5872
characteristic,cifar,2000,characteristic,2,2,1e-3,False,0.05,0.6,0.2,3.4978
characteristic,cifar,2000,characteristic,5,5,1e-3,False,0.05,0.6,0.2,2.9020
characteristic,cifar,2000,characteristic,10,10,1e-3,False,0.05,0.6,0.2,2.7585
characteristic,cifar,2000,characteristic,20,20,1e-3,False,0.05,0.6,0.2,2.6260
